name,domain,input_type,output_type,difficulty,tags,can_invert
counting_via_algebra,algebra,integer,integer,3,combinatorics|generating_functions|algebra,False
cross_ratio,geometry,point_quadruple,geometric_value,3,geometry|projective|cross_ratio,False
cubic_residue_set,number_theory,integer,integer,3,number_theory|cubic_residues|modular_arithmetic,False
current_time_from_past,other,none,integer,2,word_problems|time|arithmetic,False
curve_intersection,geometry,integer,integer,3,algebra|geometry|intersection,False
cutting_plane_equation,geometry,integer,integer,3,geometry|3d,False
cyclic_functional,combinatorics,none,integer,5,functional_equation|deep_insight|permutation|cycles,False
cyclic_quadrilateral,geometry,integer,integer,4,geometry|quadrilateral|circle,False
cyclic_quadrilaterals,geometry,integer,integer,3,geometry|quadrilateral,False
cyclotomic_eval,algebra,integer,integer,4,algebra|polynomials|cyclotomic,False
cyclotomic_factorization,algebra,integer,integer,4,algebra|polynomials|cyclotomic|factorization,False
cyclotomic_inverse_n,algebra,integer,integer,5,algebra|polynomials|cyclotomic|inverse,False
cyclotomic_subset_count,number_theory,integer,count,5,number_theory|cyclotomic|counting,False
cylinder_geometry,geometry,integer,integer,3,geometry|3d,False
deep_catalan,combinatorics,none,integer,4,combinatorics|catalan|deep_insight,False
deep_linear_recurrence,algebra,none,integer,5,recurrence|characteristic_polynomial|deep_insight|sequences,False
deep_pigeonhole,combinatorics,none,integer,4,combinatorics|pigeonhole|deep_insight,False
define_bijection,other,any,dict,3,operational|mapping|transformation,False
define_game_strategy,other,integer,integer,4,game_theory|strategy|combinatorial_games,False
define_piecewise_function,algebra,integer,integer,3,algebra|functions|piecewise,False
derangement,combinatorics,integer,count,2,combinatorics|derangement|counting,False
derangement_inverse,combinatorics,count,integer,3,combinatorics|derangement|inverse,False
derangement_via_inclusion_exclusion,combinatorics,integer,count,3,combinatorics|derangement|inclusion-exclusion,False
derangements,combinatorics,none,integer,4,combinatorics|derangements|permutations|deep_insight,False
determinant_2x2,algebra,matrix,integer,1,algebra|matrix|determinant,False
determine_optimal_move,other,integer,integer,3,game_theory|strategy|combinatorial_games,False
difference,other,none,number,1,arithmetic|basic,False
difference_of_squares,algebra,integer,integer,1,algebra|factoring,False
digit_count,other,integer,integer,1,arithmetic|digits,False
digit_sum,number_theory,integer,integer,1,number_theory|digits,False
digit_sum_base_b,number_theory,integer,integer,2,number_theory|digits,True
digit_sum_extremal,other,integer,integer,2,iterative_process|digit_sum|optimization,False
digit_sum_inverse,number_theory,integer,integer,2,number_theory|digits|inverse,False
diophantine_equations,algebra,integer,integer,3,algebra|number_theory,False
distance,geometry,point_pair,geometric_value,1,geometry|coordinate|distance,False
distance_between_points,geometry,geometric,geometric_value,1,geometry|distance|point,False
distance_formula,geometry,integer,integer,2,geometry|distance|coordinate,False
distance_inverse_point,geometry,geometric_value,point,2,geometry|coordinate|distance|inverse,False
distance_point_to_line,geometry,geometric,geometric_value,2,geometry|distance|line|point,False
distance_squared,geometry,points,integer,1,geometry|coordinate|basic,False
distinct_prime_divisors_equals_b,number_theory,integer,integer,2,number_theory|primes|counting,False
divide,other,none,number,1,arithmetic|division,False
divide_area,geometry,number,number,1,geometry|area|division,False
divides,number_theory,none,boolean,1,number_theory|divisibility,False
divisibility_check,number_theory,none,boolean,1,number_theory|divisibility,False
divisibility_power_plus_one,number_theory,none,answer,5,number_theory|divisibility|counting|deep_insight,False
divisible_by_3,number_theory,integer,boolean,1,number_theory|divisibility,False
divisor_count,number_theory,integer,integer,1,number_theory|divisors,True
divisor_count_inverse,number_theory,integer,integer,3,number_theory|divisors|inverse,False
divisor_list,number_theory,integer,list,2,number_theory|divisors,False
divisor_pairs,number_theory,integer,list,2,number_theory|divisors,False
divisor_sum,number_theory,integer,integer,2,number_theory|divisors,True
divisors_of,number_theory,integer,list,2,number_theory|divisors,False
dominant_term_selection,analysis,list,number,2,analysis|asymptotics|optimization,False
dominated_convergence_limit,analysis,list,number,3,analysis|limits|convergence,False
double_count,combinatorics,integer,count,3,combinatorics|double_counting|proof,False
dyck_paths,combinatorics,integer,count,2,combinatorics|dyck|catalan|paths,False
eliminate_variable,algebra,any,any,2,operational|algebra|sympy,False
ellipse_standard_form,geometry,geometric,geometric,2,geometry|ellipse|conic_section|standard_form,False
ellipse_vertices,geometry,geometric,geometric_value,2,geometry|ellipse|vertices,False
entropy_compute,combinatorics,none,integer,3,combinatorics|information_theory|entropy|probability,False
equal_to,other,none,bool,1,comparison|primitive,False
essential_vertex_count,other,integer,integer,2,topology|graph_theory|farber_theorem,False
establish_mapping,other,any,dict,3,operational|mapping|transformation,False
establish_recurrence,other,any,dict,3,operational|mapping|transformation,False
euler_og_distance,geometry,integer,integer,4,geometry|triangle|euler_line|centers,False
euler_oi_distance,geometry,integer,integer,4,geometry|triangle|centers,False
euler_phi_values,number_theory,none,integer,2,number_theory|totient|euler_phi,False
euler_reduce,number_theory,integer,integer,3,number_theory|modular|euler,True
